id	question_id	choice	choice_number	created_at	updated_at	is_correct	correct_answer	order_id	media_type	media_url	shuffle_order_id	percentage_of_answer
11	2	Stop lisinopril and replace with losartan	1	2017-09-28 04:19:51	2020-07-04 09:46:03	1	NULL	NULL	NULL	NULL	NULL	89
12	2	Discontinue metformin and start subcutaneous insulin	2	2017-09-28 04:19:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
13	2	Prescribe antibiotics to treat early community-acquired pneumonia	3	2017-09-28 04:19:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
14	2	Prescribe a daily diuretic to help reduce pulmonary edema	4	2017-09-28 04:19:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	4
15	2	Prescribe empiric macrolide treatment for presumed bronchitis	5	2017-09-28 04:19:51	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
16	3	Balloon valvotomy	1	2017-09-28 04:21:35	2020-07-17 22:12:34	1	NULL	NULL	NULL	NULL	NULL	57
17	3	Enalapril	2	2017-09-28 04:21:35	2020-07-17 22:12:34	0	NULL	NULL	NULL	NULL	NULL	4
18	3	Valve replacement	3	2017-09-28 04:21:35	2020-07-17 22:12:34	0	NULL	NULL	NULL	NULL	NULL	30
19	3	Warfarin	4	2017-09-28 04:21:35	2020-06-23 13:46:36	0	NULL	NULL	NULL	NULL	NULL	1
20	3	Metoprolol	5	2017-09-28 04:21:35	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
21	4	Atenolol	1	2017-09-28 04:23:38	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
22	4	Doxazosin	2	2017-09-28 04:23:38	2020-07-08 11:37:07	1	NULL	NULL	NULL	NULL	NULL	88
23	4	Felodipine	3	2017-09-28 04:23:38	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
24	4	Finasteride	4	2017-09-28 04:23:38	2020-06-17 10:34:44	0	NULL	NULL	NULL	NULL	NULL	6
25	4	Hydrochlorothiazide	5	2017-09-28 04:23:38	2020-06-17 11:40:32	0	NULL	NULL	NULL	NULL	NULL	3
26	5	Coronary angiography	1	2017-09-28 04:25:12	2020-07-03 06:36:55	0	NULL	NULL	NULL	NULL	NULL	18
27	5	Chest x-ray	2	2017-09-28 04:25:12	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	5
28	5	Electrocardiography	3	2017-09-28 04:25:12	2020-07-15 10:02:23	0	NULL	NULL	NULL	NULL	NULL	12
29	5	Chest CT with contrast	4	2017-09-28 04:25:12	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
30	5	Transthoracic echocardiography	5	2017-09-28 04:25:12	2020-07-15 10:02:23	1	NULL	NULL	NULL	NULL	NULL	57
31	6	Abdominal ultrasound	1	2017-09-28 04:34:43	2020-07-13 14:38:04	0	NULL	NULL	NULL	NULL	NULL	45
32	6	Abdominal CT scan without contrast	2	2017-09-28 04:34:43	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	10
33	6	Abdominal CT scan with contrast	3	2017-09-28 04:34:43	2020-07-13 14:38:04	1	NULL	NULL	NULL	NULL	NULL	39
34	6	Angiography	4	2017-09-28 04:34:43	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	2
35	6	Observation	5	2017-09-28 04:34:43	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
36	7	Administer alteplase	1	2017-09-28 04:36:24	2020-07-14 14:53:00	0	NULL	NULL	NULL	NULL	NULL	8
37	7	Coronary artery bypass grafting	2	2017-09-28 04:36:24	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	0
38	7	Echocardiogram	3	2017-09-28 04:36:24	2020-07-15 10:58:01	1	NULL	NULL	NULL	NULL	NULL	45
39	7	Percutaneous coronary intervention	4	2017-09-28 04:36:24	2020-06-30 10:34:21	0	NULL	NULL	NULL	NULL	NULL	29
40	7	Repeat electrocardiogram	5	2017-09-28 04:36:24	2020-07-15 10:58:01	0	NULL	NULL	NULL	NULL	NULL	14
41	8	Add simvastatin to his medications	1	2017-09-28 05:46:46	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
42	8	Coronary angiography	2	2017-09-28 05:46:46	2020-06-24 07:56:47	1	NULL	NULL	NULL	NULL	NULL	83
43	8	Coronary artery bypass grafting	3	2017-09-28 05:46:46	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	7
44	8	Increase the dosage of isosorbide dinitrate	4	2017-09-28 05:46:46	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	3
45	8	Increase the dosage of metoprolol	5	2017-09-28 05:46:46	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	1
63	13	Additional IV fluids	1	2017-09-28 08:51:57	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	8
64	13	Antibiotics and high-dose steroids	2	2017-09-28 08:51:57	2020-06-10 19:06:49	0	NULL	NULL	NULL	NULL	NULL	1
65	13	Inotropic drugs	3	2017-09-28 08:51:57	2020-07-15 10:02:23	1	NULL	NULL	NULL	NULL	NULL	77
66	13	Reoperation	4	2017-09-28 08:51:57	2020-05-30 08:03:59	0	NULL	NULL	NULL	NULL	NULL	5
67	13	Vasodilators alone	5	2017-09-28 08:51:57	2020-07-15 10:02:23	0	NULL	NULL	NULL	NULL	NULL	4
68	14	Additional IV fluids	1	2017-09-28 08:58:08	2017-09-28 08:58:08	0	NULL	NULL	NULL	NULL	NULL	NULL
69	14	Antibiotics and high-dose steroids	2	2017-09-28 08:58:08	2017-09-28 08:58:08	0	NULL	NULL	NULL	NULL	NULL	NULL
70	14	Inotropic drugs	3	2017-09-28 08:58:08	2019-04-15 03:44:39	1	NULL	NULL	NULL	NULL	NULL	NULL
71	14	Reoperation	4	2017-09-28 08:58:08	2017-09-28 08:58:08	0	NULL	NULL	NULL	NULL	NULL	NULL
72	14	Vasodilators alone	5	2017-09-28 08:58:08	2017-09-28 08:58:08	0	NULL	NULL	NULL	NULL	NULL	NULL
